แถวต้นฉบับ,ชื่อหน่วยงานต้นฉบับ,ชื่อหน่วยงานหลังปรับปรุง,หัวข้อที่มีการปรับปรุง,รายละเอียดการปรับปรุง,ข้อมูลเดิมใน Excel,ข้อมูลที่แก้ไขแล้ว
2,กระทรวงศึกษาธิการ,กระทรวงศึกษาธิการ,กำหนดขอบเขตส่วนกลาง (Nationwide Scope),กำหนดเป็นหน่วยงานรับผิดชอบภาพรวม 'ทั่วประเทศ' (ไม่ผูกรหัสตำบล),ต.ทุ่งพญาไท อ. จ.,รับผิดชอบทั่วประเทศ (Nationwide)
270,โรงเรียนวัดบางเพรียง สพป.สมุทรปราการ เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดบางเพรียง สพป.สมุทรปราการ เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,ใช้พิกัดจุดศูนย์กลางตำบล (Subdistrict Center Fallback),เนื่องจากพิกัดเดิมว่างหรือผิดรูปแบบ จึงดึงพิกัดกึ่งกลางตำบลจาก DB มาใช้แทน,"89.999997,13.535407","Lat: 13.54506051, Long: 100.8074435 (ต.บางเพรียง อ.บางบ่อ)"
531,โรงเรียนสว่างราษฏร์บํารุง สพป.ปทุมธานี เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนสว่างราษฏร์บํารุง สพป.ปทุมธานี เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,ใช้พิกัดจุดศูนย์กลางตำบล (Subdistrict Center Fallback),เนื่องจากพิกัดเดิมว่างหรือผิดรูปแบบ จึงดึงพิกัดกึ่งกลางตำบลจาก DB มาใช้แทน,"89.999997,162.997554","Lat: 14.0379174, Long: 100.3581983 (ต.หน้าไม้ อ.ลาดหลุมแก้ว)"
644,โรงเรียนศูนย์การศึกษาพิเศษ ประจำจังหวัดปทุมธานี (แห่งที่2) สำนักบริหารงานการศึกษาพิเศษ สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนศูนย์การศึกษาพิเศษ ประจำจังหวัดปทุมธานี (แห่งที่2) สำนักบริหารงานการศึกษาพิเศษ สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,ใช้พิกัดจุดศูนย์กลางตำบล (Subdistrict Center Fallback),เนื่องจากพิกัดเดิมว่างหรือผิดรูปแบบ จึงดึงพิกัดกึ่งกลางตำบลจาก DB มาใช้แทน,ค่าว่าง (ไม่มีพิกัด),"Lat: 13.98450942, Long: 100.8200126 (ต.บึงทองหลาง อ.ลำลูกกา)"
671,โรงเรียนวัดสว่างอารมณ์ สพป.พระนครศรีอยุธยา เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดสว่างอารมณ์ สพป.พระนครศรีอยุธยา เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.สวนพริก),ต่อท้ายชื่อแก้ชื่อซ้ำ (Name Suffix),เติม  (ต.สวนพริก) ต่อท้ายชื่อเพื่อป้องกันชื่อซ้ำในระดับเดียวกัน,โรงเรียนวัดสว่างอารมณ์ สพป.พระนครศรีอยุธยา เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดสว่างอารมณ์ สพป.พระนครศรีอยุธยา เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.สวนพริก)
755,โรงเรียนวัดโพธิ์ สพป.พระนครศรีอยุธยา เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดโพธิ์ สพป.พระนครศรีอยุธยา เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.กบเจา),ต่อท้ายชื่อแก้ชื่อซ้ำ (Name Suffix),เติม  (ต.กบเจา) ต่อท้ายชื่อเพื่อป้องกันชื่อซ้ำในระดับเดียวกัน,โรงเรียนวัดโพธิ์ สพป.พระนครศรีอยุธยา เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดโพธิ์ สพป.พระนครศรีอยุธยา เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.กบเจา)
805,โรงเรียนวัดโพธิ์ สพป.พระนครศรีอยุธยา เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดโพธิ์ สพป.พระนครศรีอยุธยา เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.บ้านโพ),ต่อท้ายชื่อแก้ชื่อซ้ำ (Name Suffix),เติม  (ต.บ้านโพ) ต่อท้ายชื่อเพื่อป้องกันชื่อซ้ำในระดับเดียวกัน,โรงเรียนวัดโพธิ์ สพป.พระนครศรีอยุธยา เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดโพธิ์ สพป.พระนครศรีอยุธยา เขต 2 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.บ้านโพ)
920,โรงเรียนวัดสว่างอารมณ์ สพป.พระนครศรีอยุธยา เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดสว่างอารมณ์ สพป.พระนครศรีอยุธยา เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.วังจุฬา),ต่อท้ายชื่อแก้ชื่อซ้ำ (Name Suffix),เติม  (ต.วังจุฬา) ต่อท้ายชื่อเพื่อป้องกันชื่อซ้ำในระดับเดียวกัน,โรงเรียนวัดสว่างอารมณ์ สพป.พระนครศรีอยุธยา เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดสว่างอารมณ์ สพป.พระนครศรีอยุธยา เขต 1 สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.วังจุฬา)
1007,โรงเรียนศูนย์การศึกษาพิเศษ ประจำจังหวัดพระนครศรีอยุธยา (แห่งที่2) สำนักบริหารงานการศึกษาพิเศษ สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนศูนย์การศึกษาพิเศษ ประจำจังหวัดพระนครศรีอยุธยา (แห่งที่2) สำนักบริหารงานการศึกษาพิเศษ สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,ใช้พิกัดจุดศูนย์กลางตำบล (Subdistrict Center Fallback),เนื่องจากพิกัดเดิมว่างหรือผิดรูปแบบ จึงดึงพิกัดกึ่งกลางตำบลจาก DB มาใช้แทน,ค่าว่าง (ไม่มีพิกัด),"Lat: 14.46932461, Long: 100.6226479 (ต.นครหลวง อ.นครหลวง)"
1013,โรงเรียนวัดโบสถ์ สพป.อ่างทอง สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดโบสถ์ สพป.อ่างทอง สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.ย่านซื่อ),ต่อท้ายชื่อแก้ชื่อซ้ำ (Name Suffix),เติม  (ต.ย่านซื่อ) ต่อท้ายชื่อเพื่อป้องกันชื่อซ้ำในระดับเดียวกัน,โรงเรียนวัดโบสถ์ สพป.อ่างทอง สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ,โรงเรียนวัดโบสถ์ สพป.อ่างทอง สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน (สพฐ.) กระทรวงศึกษาธิการ (ต.ย่านซื่อ)
